regioncode,year,sector,pct_gdp
ABA,2025,A,0.0
ABA,2025,B,0.0
ABA,2025,C,0.0
ABA,2025,D,0.0
ABA,2025,E,0.0
ABA,2025,F,0.0
ABA,2025,G,0.0
ABA,2025,H,0.0
ABA,2025,I,0.0
ABA,2025,J,0.0
ABA,2025,K,0.0
ABA,2025,L,0.0
ABA,2025,M,0.0
ABA,2025,N,0.0
ABA,2025,O,0.0
ABA,2025,P,33.33
ABA,2025,Q,33.32
ABA,2025,R,29.16
ABA,2025,S,4.17
ABA,2025,T,0.0
ABA,2025,U,0.0
ABA,2025,V,0.0
ABA,2026,A,0.0
ABA,2026,B,0.0
ABA,2026,C,0.0
ABA,2026,D,0.0
ABA,2026,E,0.0
ABA,2026,F,0.0
ABA,2026,G,0.0
ABA,2026,H,0.0
ABA,2026,I,0.0
ABA,2026,J,0.0
ABA,2026,K,0.0
ABA,2026,L,0.0
ABA,2026,M,0.0
ABA,2026,N,0.0
ABA,2026,O,0.0
ABA,2026,P,33.33
ABA,2026,Q,33.33
ABA,2026,R,29.04
ABA,2026,S,4.29
ABA,2026,T,0.0
ABA,2026,U,0.0
ABA,2026,V,0.0
ABA,2027,A,0.0
ABA,2027,B,0.0
ABA,2027,C,0.0
ABA,2027,D,0.0
ABA,2027,E,0.0
ABA,2027,F,0.0
ABA,2027,G,0.0
ABA,2027,H,0.0
ABA,2027,I,0.0
ABA,2027,J,0.0
ABA,2027,K,0.0
ABA,2027,L,0.0
ABA,2027,M,0.0
ABA,2027,N,0.0
ABA,2027,O,0.0
ABA,2027,P,33.33
ABA,2027,Q,33.33
ABA,2027,R,28.91
ABA,2027,S,4.41
ABA,2027,T,0.0
ABA,2027,U,0.0
ABA,2027,V,0.0
ABA,2028,A,0.0
ABA,2028,B,0.0
ABA,2028,C,0.0
ABA,2028,D,0.0
ABA,2028,E,0.0
ABA,2028,F,0.0
ABA,2028,G,0.0
ABA,2028,H,0.0
ABA,2028,I,0.0
ABA,2028,J,0.0
ABA,2028,K,0.0
